item_id,category_code,std_name,std_spec,std_unit,part_type,maker,maker_pn,supplier,department,model_ref,stock_prev,stock_current,safety_stock,moq,lead_time,source_file,source_sheet,source_row,original_name_a,original_name_bc,mapping_status,notes,created_at
RM-000554,RM,체스트 & 베드 암 파이프,,,완제품,,,로움텍,,,0.0,,,,,A,26.03월,557,체스트 & 베드 암 파이프,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000555,RM,체스트 & 베드 조인트 암,,,완제품,,,로움텍,,,0.0,,,,,A,26.03월,558,체스트 & 베드 조인트 암,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000556,RM,"체스트 & 베드 픽스 블럭 A, B (육각 렌치 3, 5)",,,완제품,,,로움텍,,,0.0,,,,,A,26.03월,559,"체스트 & 베드 픽스 블럭 A, B (육각 렌치 3, 5)",,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000559,RM,FOOT SWITCH,,,유선리모콘,,,직구,,,0.0,,,,,A,26.03월,562,FOOT SWITCH,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000560,RM,리드스위치,,,스위치,,,HLP,,,0.0,,,,,A,26.03월,563,리드스위치,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000564,RM,Battery Pack 사급자재,사급자재,,ABS 난연,,,천우,,,0.0,,,,,A,26.03월,568,Battery Pack,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000565,RM,Battery Case 사급자재,사급자재,,ABS 난연,,,천우,,,0.0,,,,,A,26.03월,569,Battery Case,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000566,RM,배터리 내부 단자 사급자재,사급자재,,신주,,,해진정밀,,,0.0,,,,,A,26.03월,570,배터리 내부 단자,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000570,RM,고압용 칩 세라믹 콘덴서 2220J6K00222KXT,2220J6K00222KXT,,세라믹,,,비지티,,,0.0,,,,,A,26.03월,574,고압용 칩 세라믹 콘덴서,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000572,RM,내부 케이스 HDPE,HDPE,,HDPE,,,용봉화학,,,0.0,,,,,A,26.03월,576,내부 케이스,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000573,RM,고압 격벽 HDPE,HDPE,,HDPE,,,용봉화학,,,0.0,,,,,A,26.03월,577,고압 격벽,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000580,RM,FFC 10핀,,,CABLE,,,HLP,,,0.0,,,,,A,26.03월,584,FFC 10핀,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000586,RM,INNER USB B/D,,,PCB,,,HLP,,,0.0,,,,,A,26.03월,590,INNER USB B/D,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000598,RM,ETC EX BATTERY BD,,,PCB,,,HLP,,,0.0,,,,,A,26.03월,602,ETC EX BATTERY BD,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000599,RM,ETC RESIST BD,,,PCB,,,HLP,,,0.0,,,,,A,26.03월,603,ETC RESIST BD,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000600,RM,ETC CAP BANK BD,,,PCB,,,HLP,,,0.0,,,,,A,26.03월,604,ETC CAP BANK BD,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000602,RM,"DRTech FDXD-810, FLAATZ-N330 CTR Battery B/D 구형",구형,,PCB,,,HLP,,,0.0,,,,,A,26.03월,606,"DRTech FDXD-810, FLAATZ-N330 CTR Battery B/D",,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000603,RM,"DRTech FDXD-810, FLAATZ-N330 CTR Battery B/D 신형",신형,,PCB,,,HLP,,,0.0,,,,,A,26.03월,607,"DRTech FDXD-810, FLAATZ-N330 CTR Battery B/D",,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000621,RM,스킨가드 FRAME AL 가공 + 흑색 아노다이징,AL 가공 + 흑색 아노다이징,,AL + STEEL,,,제이케이시스템,,,0.0,,,,,A,26.03월,625,스킨가드 FRAME,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000622,RM,"스킨가드 BODY 벨크로, AL 가공","벨크로, AL 가공",,AL + STEEL,,,제이케이시스템,,,0.0,,,,,A,26.03월,626,스킨가드 BODY,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000623,RM,스킨가드 구형,,,AL + STEEL,,,제이케이시스템,,,23.0,,,,,A,26.03월,627,스킨가드 구형,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000628,RM,외부전원 연결 DC잭 너트,,,RUBBER,,,직구,,,0.0,,,,,A,26.03월,632,외부전원 연결 DC잭 너트,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000645,RM,BOTTOM BLOCK,,,AL + STEEL,,,제이케이시스템,,,0.0,,,,,A,26.03월,649,BOTTOM BLOCK,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000646,RM,"SMPS (PSU) DEX-A085-M, 17V,5A(85W)","DEX-A085-M, 17V,5A(85W)",,ADAPTER,,,두앤비무역,,,0.0,,,,,A,26.03월,650,SMPS (PSU),,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000647,RM,마그네틱 젠더,,,CABLE,,,HLP,,,0.0,,,,,A,26.03월,651,마그네틱 젠더,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
RM-000649,RM,와이어 몰드,,,케이블 스토퍼,,,동양전자,,,0.0,,,,,A,26.03월,653,와이어 몰드,,raw_only,A단독: 파일 B/C에서 매칭 실패,2026-04-10T21:21:51
