item_id,source_file,source_sheet,source_row,original_name
RM-000189,A,26.03월,192,SLIDE CAP
RM-000189,B,조립 자재,300,SLIDE CAP
RM-000190,A,26.03월,193,GER GUIDE
RM-000190,B,조립 자재,312,GER GUIDE
RM-000191,A,26.03월,194,에이밍 LED BODY 신형 A
RM-000191,B,조립 자재,341,에이밍 TOP BODY ASS'Y
RM-000192,A,26.03월,195,에이밍 LED BODY 신형 B
RM-000192,B,조립 자재,341,에이밍 TOP BODY ASS'Y
RM-000193,A,26.03월,196,에이밍 방사구 젠더
RM-000193,B,조립 자재,356,에이밍 젠더 (가공품)
RM-000194,A,26.03월,197,WINDOW
RM-000194,B,조립 자재,67,아크릴 투명 십자 Panel (66 x 66 mm)
RM-000195,A,26.03월,198,WINDOW
RM-000195,B,조립 자재,67,아크릴 투명 십자 Panel (66 x 66 mm)
RM-000196,A,26.03월,199,에이밍 아크릴 은경
RM-000196,B,조립 자재,152,아크릴 은경
RM-000197,A,26.03월,200,에이밍 십자 아크릴 (사각 모양)
RM-000197,B,조립 자재,347,코쿤 에이밍 십자 아크릴 (사각 모양)
RM-000198,A,26.03월,201,에이밍 원형 십자 아크릴 (테두리 O) 2.0T
RM-000198,B,조립 자재,348,원형 십자 아크릴 1 (테두리 두껍게 있는 것) 2.0T - 영국용
RM-000199,A,26.03월,202,에이밍 원형 십자 아크릴 (테두리 O) 2.0T
RM-000199,B,조립 자재,348,원형 십자 아크릴 1 (테두리 두껍게 있는 것) 2.0T - 영국용
RM-000200,A,26.03월,203,에이밍 원형 십자 아크릴 (테두리 X) 2.0T
RM-000200,B,조립 자재,350,원형 십자 아크릴 2 (테두리 없는 것) 2.0T - 사파리용
RM-000201,A,26.03월,204,알루미늄 필터
RM-000201,B,조립 자재,321,알루미늄 필터 [ 0.5T * Φ63 ]
RM-000202,A,26.03월,205,BAT BOTTOM RUBBER
RM-000202,B,조립 자재,303,BAT BOTTOM RUBBER
RM-000203,A,26.03월,206,CRADLE FOOT RUBBER
RM-000203,B,조립 자재,311,CRADLE FOOT RUBBER
RM-000204,A,26.03월,207,CRADLE 신주 핀
RM-000204,B,조립 자재,328,"YH396-02+SORDER 80mm CRADLE 신주 연결 2핀 
(하네스 11번)"
RM-000205,A,26.03월,208,EXP BUTTON 스프링
RM-000205,B,조립 자재,302,EXP BUTTON 스프링
RM-000206,A,26.03월,209,CRADLE 충전단자 스프링
RM-000206,B,조립 자재,310,크래들 충전단자 스프링
RM-000207,A,26.03월,210,고리
RM-000207,B,조립 자재,288,D링 고리
RM-000208,A,26.03월,211,자석
RM-000208,B,조립 자재,320,자석 (네오디움 마그넷)
RM-000209,A,26.03월,212,FRONT_S (18cm)
RM-000209,B,조립 자재,313,FRONT_S (18cm) 
RM-000210,A,26.03월,213,FRONT_L (20cm)
RM-000210,B,조립 자재,316,FRONT_L (20cm) 
RM-000211,A,26.03월,214,FRONT_CAP
RM-000211,B,조립 자재,317,FRONT_CAP
RM-000212,A,26.03월,215,에이밍 앞 사출
RM-000212,B,조립 자재,73,컬리메이터 사출 ASS'Y 에이밍 적용
RM-000213,A,26.03월,216,POWER BUTTON
RM-000213,B,조립 자재,8,POWER BUTTON
RM-000214,A,26.03월,217,LOCK KNOB
RM-000214,B,조립 자재,289,LOCK KNOB 
RM-000215,A,26.03월,218,LOCK INNER
RM-000215,B,조립 자재,290,LOCK INNER 
RM-000216,A,26.03월,219,HAND BODY
RM-000216,B,조립 자재,293,HAND BODY 사출 
RM-000217,A,26.03월,220,HAND TOP COVER
RM-000217,B,조립 자재,294,HAND TOP COVER 사출 
RM-000218,A,26.03월,221,BAT BOTTOM
RM-000218,B,조립 자재,484,Bat_Bottom _ 블랙 샌딩
RM-000219,A,26.03월,222,CTR _BD
RM-000219,B,조립 자재,515,CTR _BD
RM-000220,A,26.03월,223,OP_BD
RM-000220,B,조립 자재,334,OP BD (Atmega128)_FFC케이블 케넥트 수정 (신형)
RM-000221,A,26.03월,224,POWER_BD
RM-000221,B,조립 자재,113,POWER BD
RM-000222,A,26.03월,225,MAIN_BD
RM-000222,B,조립 자재,516,MAIN_BD
RM-000223,A,26.03월,226,리모콘_BD
RM-000223,B,조립 자재,517,리모콘_BD
RM-000224,A,26.03월,227,EXP_BD
RM-000224,B,조립 자재,518,EXP_BD
RM-000225,A,26.03월,228,BATCON_BD
RM-000225,B,조립 자재,519,BATCON_BD
RM-000226,A,26.03월,229,SOLO 하네스 1번
RM-000226,B,조립 자재,130,"12505HS-02+SORDER 200mm 스피커 2핀 
(하네스 4-1번) "
RM-000227,A,26.03월,230,SOLO 하네스 2번
RM-000227,B,조립 자재,223,"Battery BD 02 Wire Harness [12505HS-06]
[80mm] 탈착 BAT BD 연결 (하네스 11-1번)"
RM-000228,A,26.03월,231,SOLO 하네스 3번
RM-000228,B,조립 자재,324,"30핀 FFC CABLE 
(하네스 3번)"
RM-000229,A,26.03월,232,SOLO 하네스 4번
RM-000229,B,조립 자재,521,"Harness-02 
( BATCON BD + EXP BD 연결 _26AWG / 190mm )"
RM-000230,A,26.03월,233,TOP Body
RM-000230,B,조립 자재,481,Top_body _ 블랙 샌딩
RM-000231,A,26.03월,234,Bottom Body
RM-000231,B,조립 자재,482,Bottom Body _ 블랙 샌딩
RM-000232,A,26.03월,235,Main_Cone
RM-000232,B,조립 자재,490,Main_Cone _ 메탈릭 다크 그레이 도색
RM-000233,A,26.03월,236,Hand_Body
RM-000233,B,조립 자재,483,Hand_Body _ 블랙 샌딩
RM-000234,A,26.03월,237,Bat_Bottom
RM-000234,B,조립 자재,484,Bat_Bottom _ 블랙 샌딩
RM-000235,A,26.03월,238,Power Button
RM-000235,B,조립 자재,486,Power Button _ 블랙 샌딩
